# PicoScope Waveform
# Sampling Rate (Hz),9708
# X Axis Min,1500.0
# X Axis Max,9500.0
# Y Axis Min,0.0
# Y Axis Max,3.31

Sample,Voltage (V)
602,1.7245421245421246
603,1.726959706959707
604,1.7277655677655677
605,1.7293772893772892
606,1.73018315018315
607,1.7317948717948717
608,1.730989010989011
609,1.7317948717948717
610,1.7317948717948717
611,1.7326007326007327
612,1.7342124542124542
613,1.7342124542124542
614,1.735018315018315
615,1.7358241758241757
616,1.7374358974358972
617,1.7374358974358972
618,1.7374358974358972
619,1.7398534798534797
620,1.7398534798534797
621,1.7406593406593407
622,1.7406593406593407
623,1.7414652014652012
624,1.7422710622710622
625,1.743076923076923
626,1.743882783882784
627,1.7446886446886447
628,1.7454945054945052
629,1.7454945054945052
630,1.747106227106227
631,1.747106227106227
632,1.747912087912088
633,1.747912087912088
634,1.7487179487179487
635,1.7495238095238093
636,1.7503296703296702
637,1.751135531135531
638,1.751941391941392
639,1.7535531135531133
640,1.7535531135531133
641,1.7543589743589743
642,1.7543589743589743
643,1.755164835164835
644,1.755164835164835
645,1.7567765567765568
646,1.7575824175824175
647,1.7583882783882783
648,1.7608058608058608
649,1.7608058608058608
650,1.7616117216117215
651,1.7616117216117215
652,1.7624175824175823
653,1.763223443223443
654,1.7656410256410255
655,1.7656410256410255
656,1.7664468864468863
657,1.768058608058608
658,1.768058608058608
659,1.7688644688644688
660,1.7688644688644688
661,1.7704761904761903
662,1.7712820512820513
663,1.772087912087912
664,1.7728937728937728
665,1.7736996336996336
666,1.7745054945054943
667,1.7745054945054943
668,1.776117216117216
669,1.7753113553113553
670,1.776117216117216
671,1.7769230769230768
672,1.7777289377289376
673,1.7777289377289376
674,1.7793406593406593
675,1.78014652014652
676,1.7809523809523808
677,1.7817582417582416
678,1.7825641025641024
679,1.7833699633699633
680,1.7833699633699633
681,1.784981684981685
682,1.7857875457875456
683,1.7865934065934064
684,1.7865934065934064
685,1.7882051282051281
686,1.7898168498168496
687,1.789010989010989
688,1.7906227106227104
689,1.7914285714285714
690,1.7922344322344321
691,1.793040293040293
692,1.7938461538461536
693,1.7946520146520146
694,1.7954578754578754
695,1.7962637362637361
696,1.7970695970695971
697,1.7986813186813186
698,1.7986813186813186
699,1.7994871794871794
700,1.7994871794871794
701,1.8019047619047617
702,1.8010989010989011
703,1.8027106227106227
704,1.8027106227106227
705,1.8035164835164834
706,1.8035164835164834
707,1.8035164835164834
708,1.8059340659340657
709,1.8051282051282052
710,1.8059340659340657
711,1.8059340659340657
712,1.8075457875457874
713,1.8083516483516484
714,1.8083516483516484
715,1.8091575091575092
716,1.8099633699633697
717,1.8115750915750914
718,1.8107692307692307
719,1.8123809523809524
720,1.8131868131868132
721,1.8147985347985347
722,1.8147985347985347
723,1.8156043956043955
724,1.8164102564102564
725,1.8164102564102564
726,1.8172161172161172
727,1.8180219780219777
728,1.8196336996336995
729,1.8196336996336995
730,1.8212454212454212
731,1.8212454212454212
732,1.8228571428571427
733,1.8236630036630035
734,1.8244688644688645
735,1.8252747252747252
736,1.826080586080586
737,1.8268864468864467
738,1.8276923076923075
739,1.8284981684981685
740,1.8293040293040292
741,1.8309157509157508
742,1.8309157509157508
743,1.8317216117216117
744,1.8325274725274725
745,1.8333333333333333
746,1.834139194139194
747,1.834139194139194
748,1.8349450549450548
749,1.8357509157509158
750,1.8365567765567765
751,1.8365567765567765
752,1.8373626373626373
753,1.838168498168498
754,1.838168498168498
755,1.838168498168498
756,1.8389743589743588
757,1.8413919413919413
758,1.8397802197802198
759,1.8413919413919413
760,1.8413919413919413
761,1.8413919413919413
762,1.842197802197802
763,1.842197802197802
764,1.8430036630036628
765,1.8430036630036628
766,1.8438095238095238
767,1.8438095238095238
768,1.8454212454212455
769,1.8446153846153845
770,1.8454212454212455
771,1.846227106227106
772,1.846227106227106
773,1.8470329670329668
774,1.8470329670329668
775,1.8478388278388278
776,1.8470329670329668
777,1.8478388278388278
778,1.8486446886446886
779,1.8486446886446886
780,1.8486446886446886
781,1.8494505494505495
782,1.8510622710622708
783,1.8494505494505495
784,1.85025641025641
785,1.8510622710622708
786,1.8518681318681318
787,1.8518681318681318
788,1.8526739926739926
789,1.8534798534798536
790,1.854285714285714
791,1.854285714285714
792,1.854285714285714
793,1.8550915750915749
794,1.8558974358974358
795,1.8575091575091576
796,1.8575091575091576
797,1.858315018315018
798,1.858315018315018
799,1.8599267399267398
800,1.8599267399267398
801,1.8599267399267398
802,1.8607326007326006
803,1.8615384615384616
804,1.863150183150183
805,1.863150183150183
